,address,areas,backyard,bathrooms,bedrooms,category,floor_if_condo,municipal,postalcode,price,year
0,"5985 Boyer, Rosemont / La Petite Patrie, QC","2,000 ft² (185.81 m²)",East,2.5,3.0,Condominium,1.0,394000.0,H2S 2H8,599000,1928
1,"1008-3581 boulevard Gouin Est, Montréal-Nord, QC","1,100 ft² (102.19 m²)",,1.5,2.0,Condominium,10.0,316600.0,H1H 0A1,349000,2006
2,"16107 rue Forsyth, Pointe-Aux-Trembles / Montréal-Est, QC",911 ft² (84.63 m²),North-West,1.0,2.0,Condominium,3.0,207200.0,H1A 5R8,200000,1999
3,"711-680 rue de Courcelles, Le Sud-Ouest, QC",950 ft² (88.26 m²),South,1.0,2.0,Condominium,7.0,339500.0,H4C 0B8,415000,2011
4,"1-5230 rue Resther, Le Plateau-Mont-Royal, QC",106.4 m² (1 145.28 ft²),,2.5,2.0,Condominium,1.0,350700.0,H2J 2W3,415000,2005
5,"7361 avenue Victoria, Côte-des-Neiges / Notre-Dame-de-Grâce, QC",1 073 ft² (99.68 m²),,2.0,2.0,Condominium,7.0,,H4P 0A7,440000,2011
6,"104-9505 boulevard Gouin Ouest, Pierrefonds / Roxboro, QC",1 051 ft² (97.64 m²),,2.0,2.0,Condominium,1.0,,H8Y 1T7,293000,2012
7,"2-1199 rue Joseph-Janot, Pointe-Aux-Trembles / Montréal-Est, QC",928 ft² (86.21 m²),,1.0,2.0,Condominium,1.0,142367.0,H1A 4Y7,159900,1987
8,"205-2244 rue Harmony, Ville-Marie (Centre-Ville et Vieux Mtl), QC",786 ft² (73.02 m²),North-West,1.0,1.0,Condominium,2.0,228800.0,H2K 3P9,289000,2004
9,"201-1450 12e avenue, Pointe-Aux-Trembles / Montréal-Est, QC",900 ft² (83.61 m²),,1.0,2.0,Condominium,2.0,,H1B 3Y7,175000,2009
10,"203-4725 rue Messier, Le Plateau-Mont-Royal, QC",722 ft² (67.08 m²),South,1.0,2.0,Condominium,2.0,,H2H 2J2,329000,2014
11,"305-9975 rue Lajeunesse, Ahuntsic / Cartierville, QC",763 ft² (70.89 m²),,1.0,2.0,Condominium,2.0,,H3L 2C9,255700,2013
12,"10016 boulevard Perras, Rivière des Prairies, QC",1 113 ft² (103.40 m²),,1.0,3.0,Condominium,1.0,,H1C 1Z5,210000,2007
13,"9975 rue de Lille, Ahuntsic / Cartierville, QC",903 ft² (83.89 m²),East,1.0,2.0,Condominium,2.0,,H2B 2P8,279000,1962
14,"206-2747 rue Hochelaga, Ville-Marie (Centre-Ville et Vieux Mtl), QC",864 ft² (80.27 m²),,1.5,3.0,Condominium,2.0,244400.0,H2K 1J9,299000,2014
15,"402-3155 3155 Avenue Ernest - Hemingway, Saint-Laurent, QC","1,040 ft² (96.62 m²)",North-East,1.5,2.0,Condominium,4.0,354300.0,H4R 0A2,389000,2006
16,"1-4726 rue Chabot, Le Plateau-Mont-Royal, QC",578 ft² (53.70 m²),South-West,1.0,1.0,Condominium,1.0,215000.0,H2H 1Y3,267000,1940
17,"3476 rue Sainte-Chaterine Est, Mercier / Hochelaga / Maisonneuve, QC",1 300 ft² (120.77 m²),South-East,1.0,3.0,Condominium,1.0,,H1W 2E2,405000,1900
18,"104-5435 RUE SAINT-DENIS, Le Plateau-Mont-Royal, QC",697.5 ft² (64.80 m²),,1.0,2.0,Condominium,1.0,240900.0,H2J 4B7,289900,2011
19,"5151 Duchesneau, Mercier / Hochelaga / Maisonneuve, QC",825 ft² (76.65 m²),,1.0,2.0,Condominium,1.0,216500.0,H1K 0E1,247000,2010
20,"5-1815 avenue Morgan, Mercier / Hochelaga / Maisonneuve, QC",550 ft² (51.10 m²),East,1.5,1.0,Condominium,2.0,188000.0,H1V 2R1,200000,1953
21,"602-1869 RUE BASIN, Griffintown, QC",917 ft² (85.19 m²),South-West,1.0,2.0,Condominium,6.0,,H3J 0A3,565000,2014
22,"5-5634 RUE DE LA ROCHE, Rosemont / La Petite Patrie, QC",904 ft² (83.98 m²),,1.0,2.0,Condominium,3.0,340000.0,H2S 2C6,450000,2013
23,"302-2040 avenue Aird, Mercier / Hochelaga / Maisonneuve, QC",1 003.96 ft² (93.27 m²),,1.0,2.0,Condominium,2.0,262500.0,H1V 3S7,345000,2002
24,"D-1809 rue Masson, Le Plateau-Mont-Royal, QC",683.5 ft² (63.50 m²),,1.0,1.0,Condominium,3.0,,H2H 1A1,282500,2013
25,"310-4211 rue de Rouen, Mercier / Hochelaga / Maisonneuve, QC",1 126 ft² (104.61 m²),,1.0,2.0,Condominium,3.0,318700.0,H1V 1G7,380000,2009
